,C,dev_set_false_true,dev_set_score,train_set_false_true,train_set_score,weights_on_1
0,1e-05,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
1,1e-05,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.3, 1: 0.7}"
2,1e-05,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.1, 1: 0.9}"
3,0.0001,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
4,0.0001,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.3, 1: 0.7}"
5,0.0001,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.1, 1: 0.9}"
6,0.001,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
7,0.001,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.3, 1: 0.7}"
8,0.001,0.0005494505494505495,0.96356,0.00045285297373452753,0.9634619194001599,"{0: 0.1, 1: 0.9}"
9,0.01,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
10,0.01,0.0,0.9636,5.031699708161417e-05,0.9635499585482344,"{0: 0.3, 1: 0.7}"
11,0.01,0.027472527472527472,0.95624,0.023498037637113816,0.9564939876598461,"{0: 0.1, 1: 0.9}"
12,0.1,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
13,0.1,0.0,0.9636,5.031699708161417e-05,0.9635481243993163,"{0: 0.3, 1: 0.7}"
14,0.1,0.03461538461538462,0.95364,0.030139881251886887,0.9542765016177194,"{0: 0.1, 1: 0.9}"
15,0.25,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
16,0.25,0.0,0.9636,5.031699708161417e-05,0.9635462902503981,"{0: 0.3, 1: 0.7}"
17,0.25,0.035164835164835165,0.95364,0.03139780617892724,0.9542966772558198,"{0: 0.1, 1: 0.9}"
18,0.5,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
19,0.5,0.0,0.9636,5.031699708161417e-05,0.9635462902503981,"{0: 0.3, 1: 0.7}"
20,0.5,0.035164835164835165,0.95362,0.03139780617892724,0.9542343161926004,"{0: 0.1, 1: 0.9}"
21,1.0,0.0,0.9636,0.0,0.9635481243993163,"{0: 0.5, 1: 0.5}"
22,1.0,0.0,0.9636,5.031699708161417e-05,0.9635462902503981,"{0: 0.3, 1: 0.7}"
23,1.0,0.03461538461538462,0.95354,0.031649391164335315,0.9542196430012545,"{0: 0.1, 1: 0.9}"
24,0.01,0.0,0.9636,5.031699708161417e-05,0.9635499585482344,"{0: 0.3, 1: 0.7}"
25,0.01,0.027472527472527472,0.95624,0.023498037637113816,0.9564958218087642,"{0: 0.1, 1: 0.9}"
26,0.01,0.2521978021978022,0.84918,0.25571097916876323,0.8467788676698238,"{0: 0.05, 1: 0.95}"
27,0.01,0.7461538461538462,0.40896,0.7582268290228439,0.4060493899620698,"{0: 0.03, 1: 0.97}"
28,0.1,0.0,0.9636,5.031699708161417e-05,0.9635481243993163,"{0: 0.3, 1: 0.7}"
29,0.1,0.03461538461538462,0.95362,0.030139881251886887,0.9542783357666376,"{0: 0.1, 1: 0.9}"
30,0.1,0.2725274725274725,0.8356,0.2762403139780618,0.834156254814641,"{0: 0.05, 1: 0.95}"
31,0.1,0.7153846153846154,0.44192,0.7303008956425481,0.440879877919048,"{0: 0.03, 1: 0.97}"
32,0.25,0.0,0.9636,5.031699708161417e-05,0.9635462902503981,"{0: 0.3, 1: 0.7}"
33,0.25,0.03461538461538462,0.95366,0.031448123176008855,0.9542875065112286,"{0: 0.1, 1: 0.9}"
34,0.25,0.2752747252747253,0.83396,0.2787058468350609,0.8323606230237045,"{0: 0.05, 1: 0.95}"
